url,id,updated_at,created_at,title,lat,lon,regione,provincia,labels,milestone,image,data,body,state
https://github.com/emergenzeHack/covid19gr_issues/issues/75,598816733,2020-04-13 13:00:44,2020-04-13 10:43:06,Ολοκληρώθηκε η καραντίνα για τα δύο χωριά του Δήμου Βοΐου,,,,,"[""Missing position"", ""accepted"", ""form"", ""useful news""]",,,"{""Link"": ""https://www.efsyn.gr/node/238051"", ""\u03a0\u03b5\u03c1\u03b9\u03b3\u03c1\u03b1\u03c6\u03ae"": ""\u039f\u03bb\u03bf\u03ba\u03bb\u03b7\u03c1\u03ce\u03b8\u03b7\u03ba\u03b5 \u03c4\u03b9\u03c2 \u03c0\u03c1\u03ce\u03c4\u03b5\u03c2 \u03c0\u03c1\u03c9\u03b9\u03bd\u03ad\u03c2 \u03ce\u03c1\u03b5\u03c2 \u03c4\u03b7\u03c2 \u0394\u03b5\u03c5\u03c4\u03ad\u03c1\u03b1\u03c2 (06/04) \u03c4\u03bf \u03ba\u03b1\u03b8\u03b5\u03c3\u03c4\u03ce\u03c2 \u03c0\u03b5\u03c1\u03b9\u03bf\u03c1\u03b9\u03c3\u03bc\u03bf\u03cd \u03ba\u03c5\u03ba\u03bb\u03bf\u03c6\u03bf\u03c1\u03af\u03b1\u03c2 \u03b1\u03c0\u03cc \u03ba\u03b1\u03b9 \u03c0\u03c1\u03bf\u03c2 \u03c4\u03bf\u03c5\u03c2 \u03bf\u03b9\u03ba\u03b9\u03c3\u03bc\u03bf\u03cd\u03c2 \u0394\u03c1\u03b1\u03b3\u03b1\u03c3\u03b9\u03ac \u03ba\u03b1\u03b9 \u0394\u03b1\u03bc\u03b1\u03c3\u03ba\u03b7\u03bd\u03b9\u03ac \u03c4\u03bf\u03c5 \u0394\u03ae\u03bc\u03bf\u03c5 \u0392\u03bf\u0390\u03bf\u03c5.\n\u00ab\u03a4\u03b7\u03bd \u03c4\u03b5\u03bb\u03b5\u03c5\u03c4\u03b1\u03af\u03b1 \u03b5\u03b2\u03b4\u03bf\u03bc\u03ac\u03b4\u03b1 \u03ba\u03b1\u03bd\u03ad\u03bd\u03b1 \u03ba\u03c1\u03bf\u03cd\u03c3\u03bc\u03b1 \u03c3\u03b5 \u03cc\u03bb\u03bf \u03c4\u03bf\u03bd \u0394\u03ae\u03bc\u03bf \u03b4\u03b5\u03bd \u03b2\u03c1\u03ad\u03b8\u03b7\u03ba\u03b5 \u03b8\u03b5\u03c4\u03b9\u03ba\u03cc \u03c3\u03c4\u03bf\u03bd \u03ba\u03bf\u03c1\u03bf\u03bd\u03bf\u03ca\u03cc \u03b3\u03b5\u03b3\u03bf\u03bd\u03cc\u03c2 \u03c0\u03bf\u03c5 \u03bc\u03b1\u03c2 \u03ba\u03ac\u03bd\u03b5\u03b9 \u03cc\u03bb\u03bf\u03c5\u03c2 \u03c0\u03b9\u03bf \u03b1\u03b9\u03c3\u03b9\u03cc\u03b4\u03bf\u03be\u03bf\u03c5\u03c2. \u03a4\u03b1\u03c5\u03c4\u03cc\u03c7\u03c1\u03bf\u03bd\u03b1 \u03b4\u03b9\u03ba\u03b1\u03b9\u03ce\u03bd\u03b5\u03b9 \u03c4\u03b7 \u03c3\u03c5\u03bd\u03bf\u03bb\u03b9\u03ba\u03ae \u03c3\u03c4\u03ac\u03c3\u03b7 \u03ba\u03b1\u03b9 \u03c0\u03c1\u03bf\u03c3\u03c0\u03ac\u03b8\u03b5\u03b9\u03ac \u03bc\u03b1\u03c2 \u03ba\u03b1\u03b9 \u03b9\u03b4\u03b9\u03b1\u03af\u03c4\u03b5\u03c1\u03b1 \u03c4\u03c9\u03bd \u03ba\u03b1\u03c4\u03bf\u03af\u03ba\u03c9\u03bd \u03c4\u03c9\u03bd \u03c7\u03c9\u03c1\u03b9\u03ce\u03bd \u03bc\u03b1\u03c2 \u03ad\u03bd\u03b1\u03bd\u03c4\u03b9 \u03b1\u03c5\u03c4\u03ae\u03c2 \u03c4\u03b7\u03c2 \u03b1\u03c0\u03b5\u03b9\u03bb\u03ae\u03c2 \u03b1\u03bd\u03c4\u03b1\u03bc\u03b5\u03af\u03b2\u03bf\u03bd\u03c4\u03b1\u03c2 \u03c4\u03b7\u03bd \u03c5\u03c0\u03bf\u03bc\u03bf\u03bd\u03ae \u03ba\u03b1\u03b9 \u03c4\u03bf \u03ba\u03bf\u03c5\u03c1\u03ac\u03b3\u03b9\u03bf \u03c4\u03bf\u03c5\u03c2\u00bb \u03c3\u03b7\u03bc\u03b5\u03b9\u03ce\u03bd\u03b5\u03b9 \u03bf \u0394\u03ae\u03bc\u03b1\u03c1\u03c7\u03bf\u03c2 \u0392\u03bf\u0390\u03bf\u03c5, \u03a7\u03c1\u03ae\u03c3\u03c4\u03bf\u03c2 \u0396\u03b5\u03c5\u03ba\u03bb\u03ae\u03c2.\n\u0393\u03b9\u03b1 \u03c4\u03bf\u03c5\u03c2 \u03ba\u03b1\u03c4\u03bf\u03af\u03ba\u03bf\u03c5\u03c2 \u03c4\u03c9\u03bd \u03b4\u03cd\u03bf \u03c7\u03c9\u03c1\u03b9\u03ce\u03bd \u03c3\u03c5\u03bd\u03b5\u03c7\u03af\u03b6\u03bf\u03c5\u03bd \u03bd\u03b1 \u03b9\u03c3\u03c7\u03cd\u03bf\u03c5\u03bd \u03bf\u03b9 \u03c0\u03b5\u03c1\u03b9\u03bf\u03c1\u03b9\u03c3\u03bc\u03bf\u03af \u03bc\u03b5\u03c4\u03b1\u03ba\u03af\u03bd\u03b7\u03c3\u03b7\u03c2 \u03cc\u03c0\u03c9\u03c2 \u03ad\u03c7\u03bf\u03c5\u03bd \u03b1\u03bd\u03b1\u03ba\u03bf\u03b9\u03bd\u03c9\u03b8\u03b5\u03af \u03b1\u03c0\u03cc \u03c4\u03b7\u03bd \u03ba\u03c5\u03b2\u03ad\u03c1\u03bd\u03b7\u03c3\u03b7 \u03ba\u03b1\u03b9 \u03b1\u03c6\u03bf\u03c1\u03ac \u03c4\u03bf \u03c3\u03cd\u03bd\u03bf\u03bb\u03bf \u03c4\u03b7\u03c2 \u03c7\u03ce\u03c1\u03b1\u03c2."", ""\u03a4\u03af\u03c4\u03bb\u03bf\u03c2"": ""\u039f\u03bb\u03bf\u03ba\u03bb\u03b7\u03c1\u03ce\u03b8\u03b7\u03ba\u03b5 \u03b7 \u03ba\u03b1\u03c1\u03b1\u03bd\u03c4\u03af\u03bd\u03b1 \u03b3\u03b9\u03b1 \u03c4\u03b1 \u03b4\u03cd\u03bf \u03c7\u03c9\u03c1\u03b9\u03ac \u03c4\u03bf\u03c5 \u0394\u03ae\u03bc\u03bf\u03c5 \u0392\u03bf\u0390\u03bf\u03c5""}","<pre><yamldata>
Περιγραφή: 'Ολοκληρώθηκε τις πρώτες πρωινές ώρες της Δευτέρας (06/04) το καθεστώς
  περιορισμού κυκλοφορίας από και προς τους οικισμούς Δραγασιά και Δαμασκηνιά του
  Δήμου Βοΐου.

  «Την τελευταία εβδομάδα κανένα κρούσμα σε όλο τον Δήμο δεν βρέθηκε θετικό στον κορονοϊό
  γεγονός που μας κάνει όλους πιο αισιόδοξους. Ταυτόχρονα δικαιώνει τη συνολική στάση
  και προσπάθειά μας και ιδιαίτερα των κατοίκων των χωριών μας έναντι αυτής της απειλής
  ανταμείβοντας την υπομονή και το κουράγιο τους» σημειώνει ο Δήμαρχος Βοΐου, Χρήστος
  Ζευκλής.

  Για τους κατοίκους των δύο χωριών συνεχίζουν να ισχύουν οι περιορισμοί μετακίνησης
  όπως έχουν ανακοινωθεί από την κυβέρνηση και αφορά το σύνολο της χώρας.'

Link: https://www.efsyn.gr/node/238051

Τίτλος: Ολοκληρώθηκε η καραντίνα για τα δύο χωριά του Δήμου Βοΐου
</yamldata></pre>",open
https://github.com/emergenzeHack/covid19gr_issues/issues/62,598809118,2020-04-13 17:33:12,2020-04-13 10:26:45,Ο Δήμος Αθηναίων προχωράει σε σειρά σημαντικών έργων,,,,,"[""Missing position"", ""accepted"", ""form"", ""institutional sources""]",,,"{""Link"": ""http://www.cityofathens.gr/node/34706"", ""\u03a0\u03b5\u03c1\u03b9\u03b3\u03c1\u03b1\u03c6\u03ae"": ""\u039c\u03b5 \u03b1\u03c6\u03bf\u03c1\u03bc\u03ae \u03c4\u03b7\u03bd \u03c0\u03c1\u03c9\u03c4\u03cc\u03b3\u03bd\u03c9\u03c1\u03b7 \u03ba\u03b1\u03c4\u03ac\u03c3\u03c4\u03b1\u03c3\u03b7 \u03c0\u03bf\u03c5 \u03b2\u03b9\u03ce\u03bd\u03bf\u03c5\u03bc\u03b5 \u03ba\u03b1\u03b9 \u03c4\u03b7\u03bd \u03ac\u03b4\u03b5\u03b9\u03b1 \u03c0\u03bb\u03ad\u03bf\u03bd \u03c0\u03cc\u03bb\u03b7 \u03c4\u03b7\u03c2 \u0391\u03b8\u03ae\u03bd\u03b1\u03c2, \u03bf \u0394\u03ae\u03bc\u03bf\u03c2 \u0391\u03b8\u03b7\u03bd\u03b1\u03af\u03c9\u03bd \u03c0\u03c1\u03bf\u03c7\u03c9\u03c1\u03ac\u03b5\u03b9 \u03c3\u03b5 \u03bc\u03b9\u03b1 \u03c3\u03b5\u03b9\u03c1\u03ac \u03c3\u03b7\u03bc\u03b1\u03bd\u03c4\u03b9\u03ba\u03ce\u03bd \u03c4\u03b5\u03c7\u03bd\u03b9\u03ba\u03ce\u03bd \u03ad\u03c1\u03b3\u03c9\u03bd, \u03bc\u03b5 \u03c3\u03ba\u03bf\u03c0\u03cc \u03bd\u03b1  \u03b2\u03b5\u03bb\u03c4\u03b9\u03ce\u03c3\u03b5\u03b9 \u03c4\u03b7\u03bd \u03ba\u03b1\u03b8\u03b7\u03bc\u03b5\u03c1\u03b9\u03bd\u03cc\u03c4\u03b7\u03c4\u03b1 \u03c4\u03c9\u03bd \u0391\u03b8\u03b7\u03bd\u03b1\u03af\u03c9\u03bd \u03b1\u03bb\u03bb\u03ac \u03ba\u03b1\u03b9 \u03c4\u03b7\u03bd \u03b5\u03b9\u03ba\u03cc\u03bd\u03b1 \u03c4\u03b7\u03c2 \u03c0\u03cc\u03bb\u03b7\u03c2. \u0388\u03c4\u03c3\u03b9 \u03bc\u03b5 \u03c4\u03b1\u03c7\u03b5\u03af\u03c2 \u03c1\u03c5\u03b8\u03bc\u03bf\u03cd\u03c2 \u03c0\u03c1\u03bf\u03c7\u03c9\u03c1\u03ac\u03bd\u03b5 \u03b1\u03c3\u03c6\u03b1\u03bb\u03c4\u03cc\u03c3\u03c4\u03c1\u03c9\u03c3\u03b7\u03c2, \u03b1\u03bd\u03b1\u03ba\u03b1\u03c4\u03b1\u03c3\u03ba\u03b5\u03c5\u03ad\u03c2 \u03c0\u03b5\u03b6\u03bf\u03b4\u03c1\u03bf\u03bc\u03af\u03c9\u03bd, \u03b4\u03b9\u03b1\u03b3\u03c1\u03b1\u03bc\u03bc\u03af\u03c3\u03b5\u03b9\u03c2 \u03bf\u03b4\u03ce\u03bd, \u03bd\u03ad\u03b5\u03c2 \u03c1\u03ac\u03bc\u03c0\u03b5\u03c2 \u0391\u039c\u0395\u0391, \u03ad\u03c1\u03b3\u03b1 \u03b1\u03c0\u03bf\u03c7\u03ad\u03c4\u03b5\u03c5\u03c3\u03b7\u03c2 \u03b1\u03ba\u03b1\u03b8\u03ac\u03c1\u03c4\u03c9\u03bd \u03ba\u03b1\u03b9 \u03cc\u03bc\u03b2\u03c1\u03b9\u03c9\u03bd \u03ba.\u03b1. \u03a4\u03b1 \u03ad\u03c1\u03b3\u03b1 \u03be\u03b5\u03ba\u03af\u03bd\u03b7\u03c3\u03b1\u03bd \u03c4\u03bf\u03bd \u039c\u03ac\u03c1\u03c4\u03b9\u03bf \u03ba\u03b1\u03b9 \u03b8\u03b1 \u03c3\u03c5\u03bd\u03b5\u03c7\u03b9\u03c3\u03c4\u03bf\u03cd\u03bd \u03ba\u03b1\u03b9 \u03c4\u03bf\u03bd \u0391\u03c0\u03c1\u03af\u03bb\u03b9\u03bf."", ""\u03a4\u03af\u03c4\u03bb\u03bf\u03c2"": ""\u039f \u0394\u03ae\u03bc\u03bf\u03c2 \u0391\u03b8\u03b7\u03bd\u03b1\u03af\u03c9\u03bd \u03c0\u03c1\u03bf\u03c7\u03c9\u03c1\u03ac\u03b5\u03b9 \u03c3\u03b5 \u03c3\u03b5\u03b9\u03c1\u03ac \u03c3\u03b7\u03bc\u03b1\u03bd\u03c4\u03b9\u03ba\u03ce\u03bd \u03ad\u03c1\u03b3\u03c9\u03bd"", ""\u03a6\u03bf\u03c1\u03ad\u03b1\u03c2"": ""\u0394\u03ae\u03bc\u03bf\u03c2 \u0391\u03b8\u03b7\u03bd\u03b1\u03af\u03c9\u03bd""}","<pre><yamldata>
Περιγραφή: Με αφορμή την πρωτόγνωρη κατάσταση που βιώνουμε και την άδεια πλέον πόλη
  της Αθήνας, ο Δήμος Αθηναίων προχωράει σε μια σειρά σημαντικών τεχνικών έργων, με
  σκοπό να  βελτιώσει την καθημερινότητα των Αθηναίων αλλά και την εικόνα της πόλης.
  Έτσι με ταχείς ρυθμούς προχωράνε ασφαλτόστρωσης, ανακατασκευές πεζοδρομίων, διαγραμμίσεις
  οδών, νέες ράμπες ΑΜΕΑ, έργα αποχέτευσης ακαθάρτων και όμβριων κ.α. Τα έργα ξεκίνησαν
  τον Μάρτιο και θα συνεχιστούν και τον Απρίλιο.
Φορέας: Δήμος Αθηναίων
Link: http://www.cityofathens.gr/node/34706
Τίτλος: Ο Δήμος Αθηναίων προχωράει σε σειρά σημαντικών έργων
</yamldata></pre>",open
https://github.com/emergenzeHack/covid19gr_issues/issues/8,596476838,2020-04-08 11:05:03,2020-04-08 10:33:05,fake news,,,,,"[""Missing position"", ""accepted"", ""e-learning"", ""form"", ""psychological support""]",,,"{""Cosa"": ""\u03a0\u03c1\u03c9\u03b9\u03bd\u03cc \u03b4\u03bf\u03ba\u03b9\u03bc\u03b1\u03c3\u03c4\u03b9\u03ba\u03cc"", ""text_te4xn37"": ""\u0393\u03b9\u03b1 \u03bd\u03b1 \u03b4\u03bf\u03cd\u03bc\u03b5 \u03c0\u03c9\u03c2 \u03b8\u03b1 \u03b4\u03bf\u03c5\u03bb\u03ad\u03c8\u03bf\u03c5\u03bd \u03bf\u03b9 \u03b5\u03c4\u03b9\u03ba\u03ad\u03c4\u03c4\u03b5\u03c2""}","<pre><yamldata>
Cosa: Πρωινό δοκιμαστικό
text_te4xn37: Για να δούμε πως θα δουλέψουν οι ετικέττες
</yamldata></pre>",closed
https://github.com/emergenzeHack/covid19gr_issues/issues/7,596187302,2020-04-08 22:12:00,2020-04-07 22:23:32,fake news,,,,,"[""Missing position"", ""accepted"", ""cultural activities and leisure"", ""fake news"", ""form""]",,,"{""Cosa"": ""\u0391\u03c2 \u03c0\u03b5\u03c4\u03cd\u03c7\u03b5\u03b9 \u03b1\u03c5\u03c4\u03ae \u03c4\u03b7 \u03c6\u03bf\u03c1\u03ac"", ""Link"": ""http://www.tanea.gr"", ""geopoint_vk0au69"": ""37.967136 23.729235 0 0"", ""text_te4xn37"": ""\u03a3\u03b1\u03c2 \u03c0\u03c1\u03bf\u03c3\u03c6\u03ad\u03c1\u03c9 \u03c4\u03c1\u03b5\u03bb\u03ac \u03ba\u03b9\u03bb\u03ac \u03bc\u03b5 \u03c3\u03b1\u03ba\u03b9\u03ac \u03c0\u03b1\u03c4\u03ac\u03c4\u03b5\u03c2."", ""text_ve9ye04"": ""\u03a6\u03b1\u03bb\u03ae\u03c1\u03bf\u03c5 52""}","<pre><yamldata>
Cosa: Ας πετύχει αυτή τη φορά
Link: http://www.tanea.gr
geopoint_vk0au69: 37.967136 23.729235 0 0
text_te4xn37: Σας προσφέρω τρελά κιλά με σακιά πατάτες.
text_ve9ye04: Φαλήρου 52
</yamldata></pre>",closed
https://github.com/emergenzeHack/covid19gr_issues/issues/6,596181485,2020-04-07 22:16:57,2020-04-07 22:10:02,fake news,,,,,"[""Missing position"", ""accepted"", ""fake news"", ""form"", ""useful news""]",,,"{""Cosa"": ""\u03a0\u03ae\u03b3\u03b5 \u03ba\u03b1\u03bb\u03ac \u03c4\u03bf \u03b2\u03c1\u03ac\u03b4\u03c5"", ""Link"": ""http://ww.intel.com"", ""geopoint_vk0au69"": ""38.002979 23.729827 0 0"", ""text_te4xn37"": ""\u0398\u03b1 \u03b1\u03b3\u03bf\u03c1\u03ac\u03c3\u03bf\u03c5\u03bc\u03b5 70 \u03ba\u03b9\u03bb\u03ac \u03c7\u03b1\u03bc\u03bf\u03b3\u03b5\u03bb\u03bf"", ""text_ve9ye04"": ""\u0395\u03bb\u03b9\u03b3\u03bc\u03ce\u03bd 40""}","<pre><yamldata>
Cosa: Πήγε καλά το βράδυ
Link: http://ww.intel.com
geopoint_vk0au69: 38.002979 23.729827 0 0
text_te4xn37: Θα αγοράσουμε 70 κιλά χαμογελο
text_ve9ye04: Ελιγμών 40
</yamldata></pre>",closed
https://github.com/emergenzeHack/covid19gr_issues/issues/3,596171050,2020-04-08 22:11:02,2020-04-07 21:46:02,fake news,,,,,"[""Missing position"", ""accepted"", ""fake news"", ""form""]",,,"{""Cosa"": ""afds""}","<pre><yamldata>
Cosa: afds 
</yamldata></pre>",closed
https://github.com/emergenzeHack/covid19gr_issues/issues/1,594492537,2020-04-06 21:47:52,2020-04-05 14:45:21,test test,,,,,"[""accepted"", ""deliveries and services"", ""useful news""]",,,"{""title"": ""test""}","<pre><yamldata>
title: test
</yamldata></pre>",closed
